Names,ProblemIds,ProblemUrls,Source
ATM,HS08TEST,https://www.codechef.com/problems/HS08TEST,CodeChef
Enormous Input Test,INTEST,https://www.codechef.com/problems/INTEST,CodeChef
Add Two Numbers,FLOW001,https://www.codechef.com/problems/FLOW001,CodeChef
Number Mirror,START01,https://www.codechef.com/problems/START01,CodeChef
Sum of Digits,FLOW006,https://www.codechef.com/problems/FLOW006,CodeChef
Find Remainder,FLOW002,https://www.codechef.com/problems/FLOW002,CodeChef
First and Last Digit,FLOW004,https://www.codechef.com/problems/FLOW004,CodeChef
Lucky Four,LUCKFOUR,https://www.codechef.com/problems/LUCKFOUR,CodeChef
Small factorials,FCTRL2,https://www.codechef.com/problems/FCTRL2,CodeChef
Turbo Sort,TSORT,https://www.codechef.com/problems/TSORT,CodeChef
Reverse The Number,FLOW007,https://www.codechef.com/problems/FLOW007,CodeChef
Finding Square Roots,FSQRT,https://www.codechef.com/problems/FSQRT,CodeChef
Second Largest,FLOW017,https://www.codechef.com/problems/FLOW017,CodeChef
The Lead Game,TLG,https://www.codechef.com/problems/TLG,CodeChef
Small Factorial,FLOW018,https://www.codechef.com/problems/FLOW018,CodeChef
Helping Chef,FLOW008,https://www.codechef.com/problems/FLOW008,CodeChef
Chef And Operators,CHOPRT,https://www.codechef.com/problems/CHOPRT,CodeChef
Packaging Cupcakes,MUFFINS3,https://www.codechef.com/problems/MUFFINS3,CodeChef
Chef and Remissness,REMISS,https://www.codechef.com/problems/REMISS,CodeChef
Valid Triangles,FLOW013,https://www.codechef.com/problems/FLOW013,CodeChef
Decrement OR Increment,DECINC,https://www.codechef.com/problems/DECINC,CodeChef
Mahasena,AMR15A,https://www.codechef.com/problems/AMR15A,CodeChef
Ciel and Receipt,CIELRCPT,https://www.codechef.com/problems/CIELRCPT,CodeChef
Sum OR Difference,DIFFSUM,https://www.codechef.com/problems/DIFFSUM,CodeChef
Smallest Numbers of Notes,FLOW005,https://www.codechef.com/problems/FLOW005,CodeChef
The Block Game,PALL01,https://www.codechef.com/problems/PALL01,CodeChef
Primality Test,PRB01,https://www.codechef.com/problems/PRB01,CodeChef
Id and Ship,FLOW010,https://www.codechef.com/problems/FLOW010,CodeChef
Puppy and Sum,PPSUM,https://www.codechef.com/problems/PPSUM,CodeChef
GCD and LCM,FLOW016,https://www.codechef.com/problems/FLOW016,CodeChef
Total Expenses,FLOW009,https://www.codechef.com/problems/FLOW009,CodeChef
Fit Squares in Triangle,TRISQ,https://www.codechef.com/problems/TRISQ,CodeChef
Gross Salary,FLOW011,https://www.codechef.com/problems/FLOW011,CodeChef
The Smallest Pair,SMPAIR,https://www.codechef.com/problems/SMPAIR,CodeChef
Lapindromes,LAPIN,https://www.codechef.com/problems/LAPIN,CodeChef
Grade The Steel,FLOW014,https://www.codechef.com/problems/FLOW014,CodeChef
Sums in a Triangle,SUMTRIAN,https://www.codechef.com/problems/SUMTRIAN,CodeChef
Cutting Recipes,RECIPE,https://www.codechef.com/problems/RECIPE,CodeChef
Tanu and Head-bob,HEADBOB,https://www.codechef.com/problems/HEADBOB,CodeChef
Ambiguous Permutations,PERMUT2,https://www.codechef.com/problems/PERMUT2,CodeChef
Greedy puppy,GDOG,https://www.codechef.com/problems/GDOG,CodeChef
Two vs Ten,TWOVSTEN,https://www.codechef.com/problems/TWOVSTEN,CodeChef
Rectangle,RECTANGL,https://www.codechef.com/problems/RECTANGL,CodeChef
Is it a VOWEL or CONSONANT,VOWELTB,https://www.codechef.com/problems/VOWELTB,CodeChef
Chef and Fruits,FRUITS,https://www.codechef.com/problems/FRUITS,CodeChef
Chef and SnackDown,SNCKYEAR,https://www.codechef.com/problems/SNCKYEAR,CodeChef
Chef and Two Strings,CHEFSTLT,https://www.codechef.com/problems/CHEFSTLT,CodeChef
Farmer Feb,POTATOES,https://www.codechef.com/problems/POTATOES,CodeChef
Area OR Perimeter,AREAPERI,https://www.codechef.com/problems/AREAPERI,CodeChef
Three Way Communications,COMM3,https://www.codechef.com/problems/COMM3,CodeChef
HOW MANY DIGITS DO I HAVE,HOWMANY,https://www.codechef.com/problems/HOWMANY,CodeChef
Coins And Triangle,TRICOIN,https://www.codechef.com/problems/TRICOIN,CodeChef
Malvika is peculiar about color of balloons,CHN09,https://www.codechef.com/problems/CHN09,CodeChef
Closing the Tweets,TWTCLOSE,https://www.codechef.com/problems/TWTCLOSE,CodeChef
Chef and the Wildcard Matching,TWOSTR,https://www.codechef.com/problems/TWOSTR,CodeChef
Minimum Maximum,MNMX,https://www.codechef.com/problems/MNMX,CodeChef
Cops and the Thief Devu,COPS,https://www.codechef.com/problems/COPS,CodeChef
Mutated Minions,CHN15A,https://www.codechef.com/problems/CHN15A,CodeChef
Chef and Dolls,MISSP,https://www.codechef.com/problems/MISSP,CodeChef
Chef and digits of a number,LONGSEQ,https://www.codechef.com/problems/LONGSEQ,CodeChef
Forgotten Language,FRGTNLNG,https://www.codechef.com/problems/FRGTNLNG,CodeChef
Piece of cake,LCH15JAB,https://www.codechef.com/problems/LCH15JAB,CodeChef
